"Obs" "costesal" "indcsal" "ipc" "ipi" "ipri" "mtur" "mvic" "paroreg" "pernhot" "valojhot" "vpoinic" "vpoterm" "epaact"
258 "NA" "NA" 95,1 86,5 93,7 "NA" "NA" 1860627 "NA" 6266 4,07 4,46 "NA"
259 "NA" "NA" 95,2 89,9 93,6 "NA" "NA" 1786051 "NA" 6814 4,31 4,59 "NA"
260 "NA" "NA" 95,5 54,1 93,6 "NA" "NA" 1777134 "NA" 7718 1,87 1,4 "NA"
261 "NA" "NA" 95,6 85,3 93,8 "NA" "NA" 1788415 "NA" 6505 2,79 2,23 "NA"
262 "NA" "NA" 95,6 93,5 94,1 "NA" "NA" 1803692 "NA" 5535 4,83 4,6 "NA"
263 "NA" "NA" 95,6 88,4 94,3 "NA" "NA" 1804518 "NA" "NA" 4,83 3,13 "NA"
264 "NA" "NA" 95,8 78,8 94,4 "NA" "NA" 1785692 "NA" "NA" 12,22 5,83 "NA"
265 "NA" "NA" 95,8 86,1 94,4 "NA" "NA" 1804234 "NA" "NA" 4,65 2,66 "NA"
266 "NA" "NA" 95,6 83,1 94,3 "NA" "NA" 1783940 "NA" "NA" 3,32 3,92 "NA"
267 "NA" "NA" 95,9 86,6 94,4 "NA" "NA" 1757159 "NA" "NA" 4,25 3,28 "NA"
268 "NA" "NA" 96,1 94,3 94,5 "NA" "NA" 1708000 "NA" "NA" 3,98 2,58 "NA"
269 "NA" "NA" 96,2 90,9 94,6 "NA" "NA" 1649120 "NA" "NA" 4,21 3,73 "NA"
270 "NA" "NA" 96,2 93,1 94,5 "NA" "NA" 1612494 "NA" "NA" 3,88 4,28 "NA"
271 "NA" "NA" 96,2 97,3 94,7 "NA" "NA" 1550958 "NA" "NA" 3,44 4,2 "NA"
272 "NA" "NA" 96,4 58,4 95,1 "NA" "NA" 1554459 "NA" "NA" 2,37 1,14 "NA"
273 "NA" "NA" 97,1 94,3 95,3 "NA" "NA" 1569978 "NA" "NA" 3,06 2,61 "NA"
274 "NA" "NA" 96,8 101,8 95,4 "NA" "NA" 1591689 "NA" "NA" 3,63 3,42 "NA"
275 "NA" "NA" 96,9 94,1 95,5 "NA" "NA" 1623676 "NA" "NA" 5,01 3,06 "NA"
276 "NA" "NA" 96,8 87,1 95,2 "NA" "NA" 1613750 "NA" "NA" 13,24 10 "NA"
277 "NA" "NA" 96,8 90 94,9 "NA" "NA" 1670578 "NA" "NA" 4,23 3,16 "NA"
278 "NA" "NA" 96,8 93 94,7 "NA" "NA" 1659820 "NA" "NA" 4,76 3,63 "NA"
279 "NA" "NA" 96,8 98,8 94,7 "NA" "NA" 1628535 "NA" "NA" 7,29 4,3 "NA"
280 "NA" "NA" 96,9 91,5 94,6 "NA" "NA" 1578858 "NA" "NA" 4,51 3,94 "NA"
281 "NA" "NA" 97,1 95,9 94,5 "NA" "NA" 1531169 "NA" "NA" 7,67 6,34 "NA"
282 "NA" "NA" 97,1 100,8 94,4 "NA" "NA" 1500147 "NA" "NA" 5,52 4,09 "NA"
283 "NA" "NA" 97,2 103 94,3 "NA" "NA" 1488785 "NA" "NA" 4,81 5,2 "NA"
284 "NA" "NA" 97,3 62,3 94,1 "NA" "NA" 1487606 "NA" "NA" 3,44 2,42 "NA"
285 "NA" "NA" 97,1 97,7 93,8 "NA" "NA" 1501442 "NA" "NA" 7,5 3,44 "NA"
286 "NA" "NA" 96,9 100,7 93,7 "NA" "NA" 1530143 "NA" "NA" 6,97 4,33 "NA"
287 "NA" "NA" 96,8 99,4 93,4 "NA" "NA" 1556879 "NA" "NA" 4,47 4,61 "NA"
288 "NA" "NA" 97,1 91,2 93,2 "NA" "NA" 1556382 "NA" "NA" 6,78 7,72 "NA"
289 "NA" "NA" 97,7 91,9 93,2 "NA" "NA" 1620699 "NA" "NA" 5,24 3,88 "NA"
290 "NA" "NA" 98,6 92,8 93,4 "NA" "NA" 1598920 "NA" "NA" 4,01 5,1 "NA"
291 "NA" "NA" 98,7 100,7 93,6 "NA" "NA" 1578456 "NA" "NA" 5,41 4,42 "NA"
292 "NA" "NA" 98,7 93,6 93,8 "NA" "NA" 1535090 "NA" "NA" 5,17 3,29 "NA"
293 "NA" "NA" 98,6 98,9 94 "NA" "NA" 1478133 "NA" "NA" 5,26 5,34 "NA"
294 "NA" "NA" 98,9 102,7 94,4 "NA" "NA" 1460586 "NA" "NA" 5,7 5,5 "NA"
295 "NA" "NA" 99 104,5 94,9 "NA" "NA" 1451469 "NA" "NA" 5,47 5,47 "NA"
296 "NA" "NA" 99 66 95,5 "NA" "NA" 1459007 "NA" "NA" 3,75 2,24 "NA"
297 "NA" "NA" 99,5 101,8 96,1 "NA" "NA" 1488551 "NA" "NA" 5,25 3,3 "NA"
298 "NA" "NA" 99 100,5 96,2 "NA" "NA" 1540003 "NA" "NA" 4,89 3,56 "NA"
299 "NA" "NA" 98,7 104,6 96,3 "NA" "NA" 1572847 "NA" "NA" 6,34 3,96 "NA"
300 "NA" "NA" 98,7 96,1 96,7 "NA" "NA" 1574844 "NA" "NA" 6,36 9,84 "NA"
301 "NA" "NA" 99,2 96,5 97,4 "NA" "NA" 1651728 "NA" "NA" 4,51 5,23 "NA"
302 "NA" "NA" 99,6 102 98,2 "NA" "NA" 1666049 "NA" "NA" 4,18 4,74 "NA"
303 "NA" "NA" 99,9 111 98,9 "NA" "NA" 1649046 "NA" "NA" 3,19 5,8 "NA"
304 "NA" "NA" 99,8 93,5 99,1 "NA" "NA" 1636268 "NA" "NA" 7,14 5,3 "NA"
305 "NA" "NA" 99,9 108,4 99,5 "NA" "NA" 1588987 "NA" "NA" 4,96 6,3 "NA"
306 "NA" "NA" 99,6 108,1 99,8 "NA" "NA" 1567390 "NA" "NA" 4,83 6,99 "NA"
307 "NA" "NA" 99,9 104,6 100,1 "NA" "NA" 1548449 "NA" "NA" 7,02 6,15 "NA"
308 "NA" "NA" 99,9 70,8 100,3 "NA" "NA" 1552002 "NA" "NA" 1,79 2,73 "NA"
309 "NA" "NA" 100,3 101,9 101,3 "NA" "NA" 1590264 "NA" "NA" 7,37 5,45 "NA"
310 "NA" "NA" 100,6 103,3 101,9 "NA" "NA" 1641661 "NA" "NA" 7,17 5,66 "NA"
311 "NA" "NA" 100,5 108,6 101,8 "NA" "NA" 1677968 "NA" "NA" 5,01 4,91 "NA"
312 "NA" "NA" 100,9 91,5 101,6 "NA" "NA" 1688068 "NA" "NA" 7,24 6,1 "NA"
313 "NA" "NA" 101,7 101,1 101,3 "NA" "NA" 1742297 "NA" "NA" 3,12 5,66 "NA"
314 "NA" "NA" 102,8 98,5 101,7 "NA" "NA" 1734061 "NA" "NA" 3,49 6,06 "NA"
315 "NA" "NA" 103,4 107 102 "NA" "NA" 1719571 "NA" "NA" 4 6,58 "NA"
316 "NA" "NA" 103,4 93,2 102 "NA" "NA" 1657951 "NA" "NA" 4,49 7,08 "NA"
317 "NA" "NA" 103,5 107,4 102,2 "NA" "NA" 1608262 "NA" "NA" 5,58 7,01 "NA"
318 "NA" "NA" 103,5 105,4 102,2 "NA" "NA" 1600672 "NA" "NA" 4,98 7,59 "NA"
319 "NA" "NA" 103,9 104,2 102 "NA" "NA" 1573495 "NA" "NA" 5,36 8,67 "NA"
320 "NA" "NA" 104,2 73,1 101,9 "NA" "NA" 1569214 "NA" "NA" 2,87 3,88 "NA"
321 "NA" "NA" 104,2 98,9 102 "NA" "NA" 1607847 "NA" "NA" 3,7 4,95 "NA"
322 "NA" "NA" 104,2 106,4 101,5 "NA" "NA" 1666935 "NA" "NA" 3,84 6,33 "NA"
323 "NA" "NA" 104,2 103,4 100,9 "NA" "NA" "NA" "NA" "NA" 6,1 7,02 "NA"
324 "NA" "NA" 104,4 87,5 100,7 "NA" "NA" "NA" "NA" "NA" 8,29 8,38 "NA"
325 "NA" "NA" 104,9 99 101,3 "NA" "NA" "NA" "NA" "NA" 6,12 4,97 "NA"
326 "NA" "NA" 105,2 97,6 101,5 "NA" "NA" "NA" "NA" "NA" 6,87 5,68 "NA"
327 "NA" "NA" 105,6 95,7 101,9 "NA" "NA" "NA" "NA" "NA" 5,28 5,51 "NA"
328 "NA" "NA" 106 103,8 102,5 "NA" "NA" "NA" "NA" "NA" 3,9 5,67 "NA"
329 "NA" "NA" 106 105,3 102,7 "NA" "NA" "NA" "NA" "NA" 5,4 6,85 "NA"
330 "NA" "NA" 105,9 99,9 102,4 "NA" "NA" "NA" "NA" "NA" 4,87 7,8 "NA"
331 "NA" "NA" 106 108 102,4 "NA" "NA" "NA" "NA" "NA" 4,24 9,74 "NA"
332 "NA" "NA" 106,2 70,6 102,6 "NA" "NA" "NA" "NA" "NA" 3,46 3,24 "NA"
333 "NA" "NA" 106,4 101,3 103 "NA" "NA" "NA" "NA" "NA" 3,25 6,01 "NA"
334 "NA" "NA" 106,3 111,8 103,2 "NA" "NA" "NA" "NA" "NA" 4,38 8,52 "NA"
335 "NA" "NA" 106,2 103,7 102,6 "NA" "NA" "NA" "NA" "NA" 2,98 5,75 "NA"
336 "NA" "NA" 106,2 90,6 102,7 "NA" "NA" "NA" "NA" "NA" 6,61 5,01 "NA"
337 "NA" "NA" 106,9 98,9 103,8 "NA" "NA" "NA" "NA" "NA" 3,94 4,68 "NA"
338 "NA" "NA" 107,3 99,3 104,4 "NA" "NA" "NA" "NA" "NA" 5,95 4,6 "NA"
339 "NA" "NA" 107,9 105 105 "NA" "NA" "NA" "NA" "NA" 3,69 4,76 "NA"
340 "NA" "NA" 107,7 99,1 103,9 "NA" "NA" "NA" "NA" "NA" 3,09 4,88 "NA"
341 "NA" "NA" 107,9 104 103,4 "NA" "NA" "NA" "NA" "NA" 4,36 7,31 "NA"
342 "NA" "NA" 108 104,4 103,3 "NA" "NA" "NA" "NA" "NA" 4,19 7,29 "NA"
343 "NA" "NA" 108,7 110,1 103,5 "NA" "NA" "NA" "NA" "NA" 3,61 9,85 "NA"
344 "NA" "NA" 109,1 69,6 103,7 "NA" "NA" "NA" "NA" "NA" 1,86 3,99 "NA"
345 "NA" "NA" 109,3 103,3 103,8 "NA" "NA" "NA" "NA" "NA" 3,36 4,72 "NA"
346 "NA" "NA" 109,1 "NA" 103,8 "NA" "NA" "NA" "NA" "NA" 2,54 5,49 "NA"
347 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 3,53 6,57 "NA"
348 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 5,72 7,19 "NA"
349 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 3,4 4,35 "NA"
350 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 3,56 5,68 "NA"
351 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 3,35 6,41 "NA"
352 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 2,77 4,72 "NA"
353 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 4,25 5,16 "NA"
354 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 4,88 6,71 "NA"
355 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 3,99 6,98 "NA"
356 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 2,58 3,08 "NA"
357 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 3,87 3,58 "NA"
358 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 4,97 3,78 "NA"
359 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 4,26 3,83 "NA"
360 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 6,79 5,59 "NA"
361 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 3,43 3,48 "NA"
362 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 2,09 4,23 "NA"
363 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 1,99 4,85 "NA"
364 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 2,09 3,33 "NA"
365 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 1,21 5,07 "NA"
366 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 1,86 6,48 "NA"
367 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 4,96 5,42 "NA"
368 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 1,65 2,52 "NA"
369 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 3,28 2,78 "NA"
370 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 4,62 3,7 "NA"
371 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 4,47 4,4 "NA"
372 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 12,19 6,6 "NA"
373 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 4,37 4,2 "NA"
374 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 5,29 3,52 "NA"
375 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 4,62 5,16 "NA"
376 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 3,56 2,45 "NA"
377 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 5,33 3,31 "NA"
378 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 5,26 4,35 "NA"
379 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 6,93 "NA"
380 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 3,07 "NA"
381 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 3,21 "NA"
382 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 4,33 "NA"
383 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 4,47 "NA"
384 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 7,91 "NA"
385 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 2,13 "NA"
386 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 3,05 "NA"
387 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 2,65 "NA"
388 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 2,53 "NA"
389 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 2,9 "NA"
390 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 2,83 "NA"
391 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 7,73 "NA"
392 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 1,56 "NA"
393 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 2,92 "NA"
394 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 1,68 "NA"
395 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 4,21 "NA"
396 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 4,9 "NA"
397 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 1,85 "NA"
398 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 3 "NA"
399 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 3,09 "NA"
400 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 2,74 "NA"
401 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 4,01 "NA"
402 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 3,4 "NA"
403 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
404 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
405 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
406 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
407 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
408 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
409 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
410 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
411 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
