"Obs" "airp" "epaact" "iai" "ipc" "ipi" "ipri" "licof" "mtur" "mvic" "paroreg" "pcemen" "pernhot" "valorpr" "vpoinic" "vpoterm"
261 314683 "NA" "NA" "NA" "NA" "NA" "NA" 3868 810 71230 156904 262316 "NA" 160 175
262 290498 "NA" "NA" "NA" "NA" "NA" "NA" 5441 1088 72675 160385 263980 "NA" 453 298
263 "NA" "NA" "NA" "NA" "NA" "NA" "NA" 5026 1089 73496 151185 216546 "NA" 262 163
264 "NA" "NA" "NA" "NA" "NA" "NA" "NA" 5394 979 73727 133951 179339 "NA" 1679 655
265 "NA" "NA" "NA" "NA" "NA" "NA" "NA" 4401 948 77826 "NA" 153959 "NA" "NA" "NA"
266 "NA" "NA" "NA" "NA" "NA" "NA" "NA" 4792 973 78669 "NA" 159403 "NA" "NA" "NA"
267 "NA" "NA" "NA" "NA" "NA" "NA" "NA" 3904 800 78341 "NA" 204300 "NA" "NA" "NA"
268 "NA" "NA" "NA" "NA" "NA" "NA" "NA" 5073 965 74234 "NA" 232820 "NA" "NA" "NA"
269 "NA" "NA" "NA" "NA" "NA" "NA" "NA" 5616 1057 70872 "NA" 245991 "NA" "NA" "NA"
270 "NA" "NA" "NA" "NA" "NA" "NA" "NA" 5576 1057 69051 "NA" 276069 "NA" "NA" "NA"
271 "NA" "NA" "NA" "NA" "NA" "NA" "NA" 6312 1066 69876 "NA" 324733 "NA" "NA" "NA"
272 "NA" "NA" "NA" "NA" "NA" "NA" "NA" 3144 615 71560 "NA" 392203 "NA" "NA" "NA"
273 "NA" "NA" "NA" "NA" "NA" "NA" "NA" 3700 726 71914 "NA" 294327 "NA" "NA" "NA"
274 "NA" "NA" "NA" "NA" "NA" "NA" "NA" 5381 1024 73319 "NA" 268722 "NA" "NA" "NA"
275 "NA" "NA" "NA" "NA" "NA" "NA" "NA" 4488 1046 74554 "NA" 225180 "NA" "NA" "NA"
276 "NA" "NA" "NA" "NA" "NA" "NA" "NA" 5335 985 75598 "NA" 173813 "NA" "NA" "NA"
277 "NA" "NA" "NA" "NA" "NA" "NA" "NA" 4547 996 79494 "NA" "NA" "NA" "NA" "NA"
278 "NA" "NA" "NA" "NA" "NA" "NA" "NA" 4365 973 79753 "NA" "NA" "NA" "NA" "NA"
279 "NA" "NA" "NA" "NA" "NA" "NA" "NA" 4904 1055 76804 "NA" "NA" "NA" "NA" "NA"
280 "NA" "NA" "NA" "NA" "NA" "NA" "NA" 4658 1021 73037 "NA" "NA" "NA" "NA" "NA"
281 "NA" "NA" "NA" "NA" "NA" "NA" "NA" 5086 1025 70295 "NA" "NA" "NA" "NA" "NA"
282 "NA" "NA" "NA" "NA" "NA" "NA" "NA" 5515 1039 69646 "NA" "NA" "NA" "NA" "NA"
283 "NA" "NA" "NA" "NA" "NA" "NA" "NA" 6713 1250 69902 "NA" "NA" "NA" "NA" "NA"
284 "NA" "NA" "NA" "NA" "NA" "NA" "NA" 2941 649 70458 "NA" "NA" "NA" "NA" "NA"
285 "NA" "NA" "NA" "NA" "NA" "NA" "NA" 4277 891 72515 "NA" "NA" "NA" "NA" "NA"
286 "NA" "NA" "NA" "NA" "NA" "NA" "NA" 5780 1227 73447 "NA" "NA" "NA" "NA" "NA"
287 "NA" "NA" "NA" "NA" "NA" "NA" "NA" 5001 1064 74049 "NA" "NA" "NA" "NA" "NA"
288 "NA" "NA" "NA" "NA" "NA" "NA" "NA" 5407 1145 74792 "NA" "NA" "NA" "NA" "NA"
289 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
290 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
291 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
292 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
293 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
294 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
295 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
296 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
297 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
298 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
299 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
300 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
